,accuracy,average_precision,f1,f1_macro,neg_log_loss,precision,recall,roc_auc
Neural Net,0.698336149411,0.817717812368,0.751323541694,0.686717514485,-0.568492043362,0.725729444678,0.793501006036,0.768649421931
Extra trees,0.70156851238,0.816539016953,0.749175065619,0.689771713213,-0.568996235822,0.726365742637,0.775110663984,0.768250803807
K-nn with 10 neighbors and 30 leafs,0.61270953984,0.77742975691,0.575112301051,0.470139958338,-10.4034813152,0.755728048255,0.734869215292,0.737973610896
SVM with sigmoid,0.664149179038,0.781959621301,0.69041658243,0.661091952361,-0.981735420416,0.730711522218,0.656338028169,0.718710725894
SVM with rbf kernel,0.608974044791,0.718611828305,0.657253658053,0.600608832069,-8.75031627652,0.661893256315,0.653601609658,0.604119331373
SGD Classifier,0.583816258443,0.695303969482,0.647310856719,0.56213394446,-0.684504822895,0.628624519966,0.679034205231,0.611005547071
Non-linear SVM,0.699129380506,0.817164989264,0.74646332761,0.687520450056,-0.569108803472,0.725229275629,0.770865191147,0.768567763621
Gradient Boosting,0.699122823989,0.815893543653,0.749028105096,0.685616916095,-0.574036137157,0.72186053307,0.780784708249,0.76718015641
Logistic Regression,0.680468995198,0.792410448698,0.732418785962,0.667365976691,-0.59461345781,0.708218540989,0.759557344064,0.743220013112
SVM with linear kernel,0.691031866823,0.817177315447,0.737816157304,0.680094180487,-0.571454854699,0.721466557628,0.75676056338,0.76303429795
