,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.710569105691,0.765789473684,0.392285786577,0.289430894309,0.731155778894,0.803867403315,0.289430894309
Extra trees,0.627642276423,0.686301369863,0.228424162291,0.372357723577,0.680706521739,0.691988950276,0.372357723577
K-nn with 10 neighbors and 30 leafs,0.690243902439,0.735232800556,0.36214551957,0.309756097561,0.73986013986,0.730662983425,0.309756097561
SVM with sigmoid,0.70243902439,0.763260025873,0.372511362666,0.29756097561,0.717761557178,0.814917127072,0.29756097561
SVM with rbf kernel,0.69918699187,0.762820512821,0.36440966388,0.30081300813,0.711722488038,0.82182320442,0.30081300813
SGD Classifier,0.613821138211,0.668989547038,0.205714797418,0.386178861789,0.675105485232,0.662983425414,0.386178861789
Non-linear SVM,0.576422764228,0.653359946773,0.111311817073,0.423577235772,0.630295250321,0.67817679558,0.423577235772
Gradient Boosting,0.671544715447,0.734210526316,0.309306363122,0.328455284553,0.701005025126,0.770718232044,0.328455284553
Logistic Regression,0.70406504065,0.760210803689,0.378674268836,0.29593495935,0.726700251889,0.796961325967,0.29593495935
SVM with linear kernel,0.69918699187,0.757853403141,0.367208842257,0.30081300813,0.720149253731,0.799723756906,0.30081300813
