,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.681300813008,0.743119266055,0.332676625069,0.318699186992,0.698275862069,0.794117647059,0.318699186992
Extra trees,0.59512195122,0.644285714286,0.175098805347,0.40487804878,0.657434402332,0.631652661064,0.40487804878
K-nn with 10 neighbors and 30 leafs,0.639024390244,0.685552407932,0.262108659916,0.360975609756,0.69340974212,0.677871148459,0.360975609756
SVM with sigmoid,0.688617886179,0.74686054197,0.349428056508,0.311382113821,0.707133917397,0.791316526611,0.311382113821
SVM with rbf kernel,0.685365853659,0.754908169728,0.338563957969,0.314634146341,0.68901734104,0.834733893557,0.314634146341
SGD Classifier,0.590243902439,0.573604060914,0.228481146554,0.409756097561,0.724358974359,0.474789915966,0.409756097561
Non-linear SVM,0.550406504065,0.598984771574,0.0891799816036,0.449593495935,0.621052631579,0.578431372549,0.449593495935
Gradient Boosting,0.660162601626,0.715646258503,0.295022103197,0.339837398374,0.695767195767,0.736694677871,0.339837398374
Logistic Regression,0.691869918699,0.747501665556,0.357459320251,0.308130081301,0.712833545108,0.785714285714,0.308130081301
SVM with linear kernel,0.689430894309,0.746684350133,0.351618952517,0.310569105691,0.709068010076,0.788515406162,0.310569105691
