,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.675609756098,0.730950775455,0.323701093377,0.324390243902,0.714097496706,0.74861878453,0.324390243902
Extra trees,0.629268292683,0.686382393398,0.233132818354,0.370731707317,0.683561643836,0.689226519337,0.370731707317
K-nn with 10 neighbors and 30 leafs,0.687804878049,0.729196050776,0.361513836285,0.312195121951,0.744956772334,0.71408839779,0.312195121951
SVM with sigmoid,0.692682926829,0.757692307692,0.35024620547,0.307317073171,0.706937799043,0.816298342541,0.307317073171
SVM with rbf kernel,0.689430894309,0.753865979381,0.34386716593,0.310569105691,0.70652173913,0.808011049724,0.310569105691
SGD Classifier,0.583739837398,0.609756097561,0.178251912165,0.416260162602,0.680272108844,0.552486187845,0.416260162602
Non-linear SVM,0.617073170732,0.682400539447,0.201343273815,0.382926829268,0.666666666667,0.698895027624,0.382926829268
Gradient Boosting,0.669918699187,0.733245729304,0.305558221574,0.330081300813,0.699248120301,0.770718232044,0.330081300813
Logistic Regression,0.683739837398,0.744918032787,0.334595279398,0.316260162602,0.70911360799,0.78453038674,0.316260162602
SVM with linear kernel,0.70162601626,0.759344262295,0.372728927181,0.29837398374,0.722846441948,0.799723756906,0.29837398374
