,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.642276422764,0.681620839363,0.27433933423,0.357723577236,0.697777777778,0.666195190948,0.357723577236
Extra trees,0.608943089431,0.652707581227,0.205950665768,0.391056910569,0.666666666667,0.639321074965,0.391056910569
K-nn with 10 neighbors and 30 leafs,0.657723577236,0.693372177713,0.307549912754,0.342276422764,0.714714714715,0.673267326733,0.342276422764
SVM with sigmoid,0.684552845528,0.736413043478,0.346880715812,0.315447154472,0.708496732026,0.766619519095,0.315447154472
SVM with rbf kernel,0.688617886179,0.742087542088,0.354092650161,0.311382113821,0.70822622108,0.779349363508,0.311382113821
SGD Classifier,0.590243902439,0.629411764706,0.17352503604,0.409756097561,0.655436447167,0.605374823197,0.409756097561
Non-linear SVM,0.588617886179,0.645658263305,0.155502966973,0.411382113821,0.639389736477,0.652050919378,0.411382113821
Gradient Boosting,0.679674796748,0.730506155951,0.337868607292,0.320325203252,0.707284768212,0.755304101839,0.320325203252
Logistic Regression,0.690243902439,0.742393509128,0.358058336527,0.309756097561,0.711139896373,0.776520509194,0.309756097561
SVM with linear kernel,0.682113821138,0.734915254237,0.34146907096,0.317886178862,0.705729166667,0.766619519095,0.317886178862
