,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.653658536585,0.726923076923,0.26526545501,0.346341463415,0.678229665072,0.783149171271,0.346341463415
Extra trees,0.619512195122,0.675900277008,0.215283756016,0.380487804878,0.677777777778,0.674033149171,0.380487804878
K-nn with 10 neighbors and 30 leafs,0.646341463415,0.703476482618,0.265728763668,0.353658536585,0.694481830417,0.71270718232,0.353658536585
SVM with sigmoid,0.650406504065,0.735221674877,0.250746716475,0.349593495935,0.663333333333,0.824585635359,0.349593495935
SVM with rbf kernel,0.659349593496,0.747438215793,0.269473904541,0.340650406504,0.663101604278,0.85635359116,0.340650406504
SGD Classifier,0.586178861789,0.646773074254,0.147302335102,0.413821138211,0.649930264993,0.64364640884,0.413821138211
Non-linear SVM,0.628455284553,0.688479890934,0.228567166814,0.371544715447,0.679676985195,0.697513812155,0.371544715447
Gradient Boosting,0.670731707317,0.733377221856,0.307723280313,0.329268292683,0.700628930818,0.769337016575,0.329268292683
Logistic Regression,0.663414634146,0.726552179657,0.292953081333,0.336585365854,0.696202531646,0.759668508287,0.336585365854
SVM with linear kernel,0.668292682927,0.742098609355,0.294834582379,0.331707317073,0.684149184149,0.810773480663,0.331707317073
