,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.689430894309,0.743967828418,0.353273219245,0.310569105691,0.713367609254,0.77731092437,0.310569105691
Extra trees,0.590243902439,0.642045454545,0.163274029174,0.409756097561,0.651296829971,0.633053221289,0.409756097561
K-nn with 10 neighbors and 30 leafs,0.644715447154,0.688079942898,0.276058840679,0.355284552846,0.701601164483,0.675070028011,0.355284552846
SVM with sigmoid,0.691869918699,0.745466756212,0.358730265205,0.308130081301,0.716129032258,0.77731092437,0.308130081301
SVM with rbf kernel,0.691056910569,0.754838709677,0.352069320662,0.308943089431,0.69976076555,0.819327731092,0.308943089431
SGD Classifier,0.568292682927,0.599245283019,0.139453978042,0.431707317073,0.649754500818,0.556022408964,0.431707317073
Non-linear SVM,0.562601626016,0.620592383639,0.104352684121,0.437398373984,0.625,0.616246498599,0.437398373984
Gradient Boosting,0.658536585366,0.713896457766,0.291953823546,0.341463414634,0.694960212202,0.733893557423,0.341463414634
Logistic Regression,0.686178861789,0.739189189189,0.34788051342,0.313821138211,0.71409921671,0.766106442577,0.313821138211
SVM with linear kernel,0.691869918699,0.745124411567,0.358956033388,0.308130081301,0.716688227684,0.775910364146,0.308130081301
